game,username,query_user_id,course,date,total_score,score_vs_par,gsp,youtube_video,entry_url,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,16-11-2025 23:07:04,48,+12,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=467,6,5,7,5,6,5,3,4,7,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,16-11-2025 22:57:26,40,+4,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=466,3,4,6,4,4,4,3,7,5,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,16-11-2025 20:45:32,40,+4,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=465,3,5,2,7,3,5,2,7,6,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,16-11-2025 20:27:44,47,+11,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=464,5,3,5,4,4,7,3,8,8,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,12-11-2025 17:49:00,38,+2,0,https://www.youtube.com/watch?v=Q8QAgx86iWM,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=463,5,4,4,5,4,4,2,5,5,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,12-11-2025 17:37:21,46,+10,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=462,5,7,5,7,3,5,4,5,5,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,12-11-2025 00:39:17,33,-3,0,https://www.youtube.com/watch?v=cnnPKOvTJno,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=461,3,3,3,4,5,3,2,5,5,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,12-11-2025 00:00:21,33,-3,0,https://www.youtube.com/watch?v=6_jqFjm7KQI,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=460,3,3,4,5,4,4,2,4,4,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,11-11-2025 23:44:40,36,E,0,https://www.youtube.com/watch?v=vrGOSaBXi7Y,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=459,3,4,3,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,11-11-2025 23:13:10,33,-3,0,https://www.youtube.com/watch?v=KV6F6js18Uw,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=458,4,3,3,5,3,4,2,4,5,0,0,0,0,0,0,0,0,0
Golden Tee Live 2006,ed20910,ed20910,Coral Vista,11-11-2025 23:00:50,38,+2,0,https://www.youtube.com/watch?v=KV6F6js18Uw,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt06&entryId=457,3,3,2,5,3,5,5,4,8,0,0,0,0,0,0,0,0,0
Golden Tee Live 2007,ed20910,ed20910,Indigo Mound,18-05-2026 05:26:56,36,-1,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt07&entryId=290,4,3,3,6,4,3,5,4,4,0,0,0,0,0,0,0,0,0
Golden Tee Live 2007,ed20910,ed20910,Indigo Mound,18-04-2026 06:52:30,79,+6,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt07&entryId=288,3,5,2,5,4,5,2,4,4,5,4,3,8,5,2,9,4,5
Golden Tee Live 2007,ed20910,ed20910,Rustic Bridge,19-01-2026 06:03:39,78,+6,0,https://www.youtube.com/watch?v=QOYaKskceGk,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt07&entryId=283,4,3,5,4,3,5,3,4,5,3,4,5,4,5,5,6,3,7
Golden Tee Live 2007,ed20910,ed20910,Rustic Bridge,09-01-2026 04:35:49,42,+7,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt07&entryId=282,4,4,3,7,3,4,6,5,6,0,0,0,0,0,0,0,0,0
Golden Tee Live 2007,ed20910,ed20910,Rustic Bridge,01-01-2026 04:30:55,32,-3,0,,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt07&entryId=281,4,3,3,4,5,3,3,3,4,0,0,0,0,0,0,0,0,0
Golden Tee Unplugged 2016,ed20910,ed20910,Grizzly Flats,07-02-2026 06:38:27,57,-15,15747,https://www.youtube.com/watch?v=56slrUAQmRU,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt16&entryId=1136,3,4,2,3,3,2,3,4,2,3,3,2,3,4,4,3,5,4
Golden Tee Unplugged 2016,ed20910,ed20910,Grizzly Flats,07-02-2026 06:15:26,64,-8,0,https://www.youtube.com/watch?v=3oO3XrvW9oo,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt16&entryId=1135,3,3,2,5,3,2,3,3,2,4,3,3,2,5,5,2,6,8
Golden Tee Unplugged 2016,ed20910,ed20910,Grizzly Flats,07-02-2026 06:00:12,68,-4,7706,https://www.youtube.com/watch?v=wYvuneDZwY0,https://teknoparrot.com/en/Highscore/EntrySpecificGt06?gameId=gt16&entryId=1134,3,3,3,4,2,2,3,5,4,5,5,4,4,5,4,3,4,5
